Medicine,Symptom_Count,Max_Grade,Chapters_Covered,Top_Chapters,Aggravations_Sample,Ameliorations_Sample,Mind_Rubrics_Sample,Key_Rubrics_Sample
a,23,1,11,HEAD(7); EYE(3); MIND(2); MOUTH(2); STOMACH(2); URINE(2),"PAIN, bending head, to one side (agg.) / catarrhal | PAIN, clothing about the neck agg. / coughing, on","PAIN, rising, from sitting, amel. / after","REPROACHES, ailments, after / himself | SENSITIVE, oversensitive (See Offended)",
abies-c,20,2,5,STOMACH(10); MIND(5); ABDOMEN(3); VERTIGO(1); RECTUM(1),,,"HEEDLESS | IRRITABILITY (See Anger) | QUIET disposition | RESTLESSNESS, nervousness | RESTLESSNESS, nervousness / night","[g2|MIND] HEEDLESS | [g2|MIND] IRRITABILITY (See Anger) | [g2|MIND] QUIET disposition | [g2|MIND] RESTLESSNESS, nervousness | [g2|MIND] RESTLESSNESS, nervousness / night | [g2|VERTIGO] VERTIGO | [g2|STOMACH] APPETITE, emptiness, with (See Emptiness) / increased (hunger in general) | [g2|STOMACH] APPETITE, emptiness, with (See Emptiness) / ravenous, canine, excessive | [g2|STOMACH] AVERSION to acids | [g2|STOMACH] AVERSION, flour / meat | [g2|STOMACH] AVERSION, flour / pickles | [g2|STOMACH] DESIRES, cucumbers / meat | [g2|STOMACH] DESIRES, cucumbers / pickles | [g2|STOMACH] ERUCTATIONS | [g2|STOMACH] PAIN, swallowing, at cardiac end of stomach / burning | [g2|STOMACH] PAIN, cramping, cold drinks, after / gnawing | [g2|ABDOMEN] LIVER and region of | [g2|ABDOMEN] RUMBLING, forenoon, 9 a.m. / after | [g2|ABDOMEN] SPLEEN, complaints of | [g2|RECTUM] PAIN / burning"
abies-n,26,2,7,STOMACH(15); MIND(4); BLADDER(3); VERTIGO(1); HEAD(1); RECTUM(1),"PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | PAIN, pressing, pressure agg. (See Soreness) / weight, as from","PAIN, drawing up the limbs amel. / after","DULLNESS, sluggishness, difficulty of thinking and comprehending | RESTLESSNESS, nervousness | RESTLESSNESS, nervousness / night | SADNESS, mental depression","[g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending | [g2|MIND] SADNESS, mental depression | [g2|HEAD] HEAT | [g2|STOMACH] APPETITE, emptiness, with (See Emptiness) / noon | [g2|STOMACH] APPETITE, emptiness, with (See Emptiness) / night | [g2|STOMACH] APPETITE, emptiness, with (See Emptiness) / sleep, prevents | [g2|STOMACH] APPETITE, emptiness, with (See Emptiness) / morning | [g2|STOMACH] DESIRES, cucumbers / cucumbers | [g2|STOMACH] ERUCTATIONS, eating, while / empty | [g2|STOMACH] ERUCTATIONS, empty, night, 7 p.m. / fluid | [g2|STOMACH] HEAVINESS, weight, oppression (See Fullness) | [g2|STOMACH] HEAVINESS, weight, oppression (See Fullness) / after | [g2|STOMACH] LUMP, sensation of (See Stone) / eating, after | [g2|STOMACH] PAIN | [g2|STOMACH] PAIN, drawing up the limbs amel. / after | [g2|STOMACH] PAIN, pressing, pressure agg. (See Soreness) / weight, as from | [g2|STOMACH] PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | [g2|STOMACH] STONE, sensation of | [g2|RECTUM] CONSTIPATION (See Inactivity) | [g2|STOOL] HARD"
abrot,122,2,18,STOMACH(30); MIND(26); ABDOMEN(12); RECTUM(12); FACE(7); HEAD(6),"CONSTIPATION, alternate days, agg. / alternating with diarrhœa | EXERTION, agg. from mental | HÆMORRHOIDS, bluish / touch agg. | PAIN, pressing, pressure agg. (See Soreness) / evening | PAIN, sore, clothing agg. / stitching","HÆMORRHOIDS / as soon as the rheumatism is better | PAIN, shooting, temples, pressure amel. / Sore bruised, sensitive to pressure | PAIN, stool, after, amel. / Hypochondria","ANXIETY | CHEERFUL, gay, happy (See Mirth) | CRUELTY (See Moral feeling, Malicious) | DELUSIONS, body adherent to woollen sack, night, while half awake / brain, has softening | DELUSIONS, travelling, of, through worlds / bed, in, ceases when listening intently | DELUSIONS, travelling, of, through worlds / voices, hears | DULLNESS, sluggishness, difficulty of thinking and comprehending | EXCITEMENT, excitable | EXERTION, agg. from mental | FEAR (See Anxiety) / brain, of softening of | FORGETFUL (See Memory) | HYSTERIA | INDOLENCE, aversion to work | IRRITABILITY (See Anger) | IRRITABILITY (See Anger) / children, in","[g2|MIND] ANXIETY | [g2|MIND] CHEERFUL, gay, happy (See Mirth) | [g2|MIND] CRUELTY (See Moral feeling, Malicious) | [g2|MIND] DELUSIONS, body adherent to woollen sack, night, while half awake / brain, has softening | [g2|MIND] DELUSIONS, travelling, of, through worlds / voices, hears | [g2|MIND] DELUSIONS, travelling, of, through worlds / bed, in, ceases when listening intently | [g2|MIND] EXCITEMENT, excitable | [g2|MIND] EXERTION, agg. from mental | [g2|MIND] FEAR (See Anxiety) / brain, of softening of | [g2|MIND] FORGETFUL (See Memory) | [g2|MIND] HYSTERIA | [g2|MIND] INDOLENCE, aversion to work | [g2|MIND] IRRITABILITY (See Anger) / children, in | [g2|MIND] LOQUACITY (See Speech) | [g2|MIND] MALICIOUS | [g2|MIND] MEMORY active (See Ideas) / weakness of (See Mistakes) | [g2|MIND] MOOD, agreeable | [g2|MIND] PROSTRATION of mind | [g2|MIND] STARTING, startled / from sleep | [g2|MIND] TALK, desires to, to some one / indisposed to, desire to be silent, taciturn"
absin,78,2,12,MIND(36); STOMACH(10); EYE(7); MOUTH(7); FACE(5); HEAD(3),"PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / with head low | PAIN, yawning, when (agg.) / burning","PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / with head low | UNCONSCIOUSNESS, rubbing soles of feet amel. / sudden","CONFUSION of mind (See Concentration) | CRUELTY (See Moral feeling, Malicious) | DEATH, desires (See Loathing of Life) / convalescence, during | DELIRIUM | DELIRIUM / after | DELUSIONS, animals, abdomen, are in / grotesque | DELUSIONS, body adherent to woollen sack, night, while half awake / cats, sees | DELUSIONS, imaginations, hallucinations, illusions | DELUSIONS, imaginations, hallucinations, illusions / animals, of | DELUSIONS, poisoned, thought he had been / enemies, by | DELUSIONS, poisoned, thought he had been / of all colors | DELUSIONS, poisoned, thought he had been / pursued, thought he was (See Persecuted) | DELUSIONS, poisoned, thought he had been / soldiers, by | DELUSIONS, travelling, of, through worlds / horrible | DELUSIONS, travelling, of, through worlds / visions (See Images, spectres)","[g2|MIND] CONFUSION of mind (See Concentration) | [g2|MIND] DEATH, desires (See Loathing of Life) / convalescence, during | [g2|MIND] DELIRIUM | [g2|MIND] DELIRIUM / after | [g2|MIND] DELUSIONS, imaginations, hallucinations, illusions | [g2|MIND] DELUSIONS, imaginations, hallucinations, illusions / animals, of | [g2|MIND] DELUSIONS, animals, abdomen, are in / grotesque | [g2|MIND] DELUSIONS, body adherent to woollen sack, night, while half awake / cats, sees | [g2|MIND] DELUSIONS, poisoned, thought he had been / pursued, thought he was (See Persecuted) | [g2|MIND] DELUSIONS, poisoned, thought he had been / enemies, by | [g2|MIND] DELUSIONS, poisoned, thought he had been / soldiers, by | [g2|MIND] DELUSIONS, poisoned, thought he had been / of all colors | [g2|MIND] DELUSIONS, travelling, of, through worlds / visions (See Images, spectres) | [g2|MIND] DELUSIONS, travelling, of, through worlds / horrible | [g2|MIND] DREAM, as if in a | [g2|MIND] FANCIES, absorbed in / exaltation of | [g2|MIND] FEAR (See Anxiety) | [g2|MIND] FEAR, dawn, of the return of / killing, of | [g2|MIND] FEAR, labor, after / murdered, of being | [g2|MIND] FOOLISH behavior (See Childish)"
ac,256,1,20,HEAD(46); MIND(32); FACE(21); MOUTH(21); STOMACH(19); RECTUM(18),"ANXIETY, evening, bed, in (agg.) / waking, on | CHOKING, clothing agg. / Œsophagus | CONSTRICTION, morning (agg.) / Forehead | EMPTINESS, eructations, after (agg.) / hunger, without | PAIN, cutting, hypochondria, coughing / dragging, bearing down | PAIN, cutting, sleep, during (agg.) / Temples | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / and decreasing gradually | PAIN, morning (agg.) / forenoon | PAIN, occiput, warm clothing agg. / down back of neck | PAIN, pressing, motion, on (agg.) / spots, in | PAIN, pressing, pressure agg. (See Soreness) / pressure agg. (See Soreness) | PAIN, sore, bruised, occiput, motion, on (agg.) / Forehead | PAIN, temples, stooping, from (agg.) / Vertex | PAIN, temples, stooping, from (agg.) / afternoon | PAIN, tenesmus, stool, after (agg.) / after","HEAT, cold water, amel. / Occiput | PAIN, bending double, amel. / during (colic) | PAIN, forenoon, 8 a.m. / amel. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / and decreasing gradually | PAIN, lying, with legs drawn up amel. / paroxysmal | PAIN, occiput, bending head backward, amel. / sitting, while | PAIN, paroxysmal pains / amel. | PAIN, pressure, cold hand amel. / from lying | PAIN, pressure, cold hand amel. / from siting | PAIN, rising, from sitting, amel. / spot, pain in small | PAIN, shooting, temples, pressure amel. / Sore bruised, sensitive to pressure | SADNESS, morning, rising, after, amel. / waking, on | SADNESS, morning, rising, after, amel. / waking, on (See Morning)","ABSORBED, buried in thought | ANSWERS, abruptly, shortly, curtly | ANXIETY | ANXIETY, chill, during / after | ANXIETY, evening, bed, in (agg.) / waking, on | CHAOTIC | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / as after being | CONTRARY (See Obstinate, Irritable) | DELIRIUM / falling, on | DELUSIONS, imaginations, hallucinations, illusions | EXCITEMENT, excitable / bed, in | FEAR, dawn, of the return of / disease, of impending | FEAR, dawn, of the return of / happen, something, will | FORGETFUL (See Memory)",
acal,2,1,2,MIND(1); STOMACH(1),,,"SADNESS, mental depression",
acet-ac,204,2,16,STOMACH(43); MIND(34); HEAD(31); MOUTH(23); FACE(18); EYE(9),"ANXIETY, evening, bed, in (agg.) / about his | ANXIETY, flatus, from (agg.) / health, about | CONSTIPATION, alternate days, agg. / alternating with diarrhœa | PAIN, clothing about the neck agg. / coffee, from | PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | PAIN, sore, clothing agg. / ulcerative | PAIN, temples, stooping, from (agg.) / Vertex | PAIN, temples, stooping, from (agg.) / Vertex and Forehead | PAIN, weather, warm, begins with the (agg.) / Forehead, in | PAIN, weather, warm, begins with the (agg.) / limbs, through","ERUCTATIONS / ameliorate | PAIN, pressing, vertex, binding head up amel. / Shooting (See Cutting, Lancinating, Shocks, Stitches, etc.) | PAIN, rising, from sitting, amel. / spirituous liquors, from | PAIN, rising, from sitting, amel. / stooping, from | PAIN, rising, from sitting, amel. / tobacco, smoking, from","ANGUISH | ANXIETY | ANXIETY, evening, bed, in (agg.) / about his | ANXIETY, flatus, from (agg.) / health, about | CARRIED, desires to be | CONFUSION of mind (See Concentration) | DELIRIUM | DELIRIUM / sopor | DULLNESS, sluggishness, difficulty of thinking and comprehending | EXCITEMENT, excitable | EXCITEMENT, excitable / emotional, ailments from | FEAR (See Anxiety) | FEAR (See Anxiety) / approaching him, of others | FEAR, labor, after / people, of | FEAR, warm room / water, of","[g2|MIND] ANGUISH | [g2|MIND] ANXIETY, evening, bed, in (agg.) / about his | [g2|MIND] ANXIETY, flatus, from (agg.) / health, about | [g2|MIND] CARRIED, desires to be | [g2|MIND] DELIRIUM / sopor | [g2|MIND] EXCITEMENT, excitable / emotional, ailments from | [g2|MIND] FEAR (See Anxiety) / approaching him, of others | [g2|MIND] FEAR, labor, after / people, of | [g2|MIND] FEAR, warm room / water, of | [g2|MIND] GRIEF | [g2|MIND] HYDROPHOBIA | [g2|MIND] IDEAS abundant, forenoon / deficiency of | [g2|MIND] INDIFFERENCE, complain, does not, unless questioned, then say nothing of his / everything, to | [g2|MIND] IRRITABILITY (See Anger) / headache, during | [g2|MIND] LAMENTING, bemoaning, wailing etc. (compare weeping) | [g2|MIND] MEMORY, weakness of, labor, for mental (compare stupefaction) / persons, for | [g2|MIND] MISTAKES in calculating / speaking | [g2|MIND] MISTAKES in calculating / work, in | [g2|MIND] RECOGNIZE, does not his relatives | [g2|MIND] ROLLING on the floor"
aching,2,1,2,EYE(1); EAR(1),,,,
acon,1660,2,22,HEAD(336); MIND(325); STOMACH(130); FACE(124); ABDOMEN(99); EYE(98),"ANXIETY, evening, bed, in (agg.) / air, in open | ANXIETY, evening, bed, in (agg.) / breathing deeply, on | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / after | ANXIETY, flatus, from (agg.) / amel. | ANXIETY, flatus, from (agg.) / during | ANXIETY, flatus, from (agg.) / during (See Dreams) | ANXIETY, flatus, from (agg.) / fright, after | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / headache, with | ANXIETY, flatus, from (agg.) / health, about | ANXIETY, flatus, from (agg.) / menses, before | ANXIETY, flatus, from (agg.) / mental exertion | ANXIETY, flatus, from (agg.) / motion, from | ANXIETY, flatus, from (agg.) / on going to","ANXIETY, chill, during / cold drinks, amel. | ANXIETY, flatus, from (agg.) / amel. | BREATH, deep, agg. / amel. | COLD agg. / amel. | CONFUSION of mind (See Concentration) / amel. | CONSTRICTION, morning (agg.) / in open air amel. | CORYZA, daytime / amel. | CRACKLING sensation in / amel. | ERUCTATIONS / ameliorate | FLATUS / amel. | FORMICATION / heat amel. | HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / Vertex | HEAT, cold water, amel. / chest, from | HEAT, cold water, amel. / coldness of body, with","ABSENT-MINDED (See Forgetful) | ABSORBED, buried in thought | AFFECTIONATE (See Love, Indifference) | ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger with anxiety | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | ANGER, irascibility (See Irritability and Quarrelsome) / from the | ANGER, irascibility (See Irritability and Quarrelsome) / violent | ANGER, irascibility (See Irritability and Quarrelsome) / with fright | ANGUISH | ANGUISH / stool, before | ANXIETY | ANXIETY / evening | ANXIETY / forenoon | ANXIETY, chill, during / cold drinks, amel.","[g2|MIND] ABSENT-MINDED (See Forgetful) | [g2|MIND] ABSORBED, buried in thought | [g2|MIND] AFFECTIONATE (See Love, Indifference) | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger with anxiety | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / with fright | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / from the | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / violent | [g2|MIND] ANGUISH | [g2|MIND] ANGUISH / stool, before | [g2|MIND] ANXIETY | [g2|MIND] ANXIETY / forenoon | [g2|MIND] ANXIETY / evening | [g2|MIND] ANXIETY, evening, bed, in (agg.) / night | [g2|MIND] ANXIETY, evening, bed, in (agg.) / air, in open | [g2|MIND] ANXIETY, evening, bed, in (agg.) / breathing deeply, on | [g2|MIND] ANXIETY, chill, during / during | [g2|MIND] ANXIETY, chill, during / cold drinks, amel. | [g2|MIND] ANXIETY, chill, during / company, when in"
