Abbreviation,Full_Name,Canonical_Key
abies-c,Abies Canadensis,abies canadensis
abies-n,Abies Nigra,abies nigra
abrot,Abrotanum,abrotanum
absin,Absinthium,absinthium
acal,Acalypha Indica,acalypha indica
acet-ac,Acetic Acid,aceticum acidum
acon,Aconitum Napellus,aconitum napellus
acon-c,Aconitum Cammarum,aconitum cammarum
acon-f,Aconitum Ferox,aconitum ferox
acon-l,Aconitum Lycotonum,aconitum lycotonum
act-sp,Actæa Spicata,actaea spicata
agar,Agaricus Muscarius,agaricus muscarius
agar-em,Agaricus Emeticus,agaricus emeticus
agar-ph,Agaricus Phalloides,agaricus phalloides
agn,Agnus Castus,agnus castus
ail,Ailanthus,ailanthus
alco,Alcohol,alcohol
alet,Aletris Farinosa,aletris farinosa
all-c,Allium Cepa,allium cepa
all-s,Allium Sativum,allium sativum
aloe,Aloe Socotrina,aloe socotrina
alst,Alstonia Constricta,alstonia constricta
alum,Alumina,alumina
alum-m,Aluminium Metallicum,aluminium metallicum
alum-sil,Alumina Silicata,alumina silicata
alumn,Alumen,alumen
am-be,Ammonium Benzoicum,ammonium benzoicum
am-br,Ammonium Bromatum,ammonium bromatum
am-c,Ammonium Carbonicum,ammonium carbonicum
am-caust,Ammonium Causticum,ammonium causticum
am-m,Ammonium Muriaticum,ammonium muriaticum
ambr,Ambra Grisea,ambra grisea
ambro,Ambrosia Artemisiæ folia,ambrosia artemisiae folia
aml-n,Amyl Nitrite,amyl nitrite
ammc,Ammoniacum Gummi,ammoniacum gummi
amph,Amphisbœna,amphisboena
amyg,Amygdalæ Amaræ Aqua,amygdalae amarae aqua
anac,Anacardium Orientale,anacardium orientale
anac-oc,Anacardium Occidentale,anacardium occidentale
anag,Anagallis Arvensis,anagallis arvensis
anan,Anantherum Muricatum,anantherum muricatum
ang,Angustura Vera,angustura vera
anil,Anilinum,anilinum
anis,Anisum Stellatum,anisum stellatum
ant-a,Antimonium Arsenicosum,antimonium arsenicosum
ant-c,Antimonium Crudum,antimonium crudum
ant-chl,Antimonium Chloridum,antimonium chloridum
ant-ox,Antimonium Oxydatum,antimonium oxydatum
ant-s,Antimonium Sulph. Auratum,antimonium sulf auratum
ant-t,Antimonium Tartaricum,antimonium tartaricum
anth,Anthemis Nobilis,anthemis nobilis
anthr,Anthracinum,anthracinum
anthro,Anthrokokali,anthrokokali
ap-g,Apium Graveolens,apium graveolens
aphis,Aphis Chenopodii glauci,aphis chenopodii glauci
apis,Apis Mellifica,apis mellifica
apoc,Apocynum Cannabinum,apocynum cannabinum
apoc-a,Apocynum Androsæmifolium,apocynum androsaemifolium
apom,Apomorphium,apomorphium
aral,Aralia Racemosa,aralia racemosa
aran,Aranea Diadema,aranea diadema
aran-s,Aranea Scinencia,aranea scinencia
arg-c,Argentum Cyanidum,argentum cyanidum
arg-m,Argentum Metallicum,argentum metallicum
